990701  1o 1- 1+ 1+  1+ 1o 3- 3-   12o      6 0.3
990702  4- 3+ 5o 4o  2+ 4o 4o 4+   31- D2  26 1.2
990703  3o 2+ 4- 2-  1- 2o 0+ 1+   15o      9 0.5
990704  0o 0o 0+ 0+  1- 0+ 0+ 1-    3- Q1   2 0.0
990705  0o 0o 0o 0+  1- 1o 1+ 2-    5o Q3   2 0.0
990706  3- 1+ 2- 1-  1- 3o 3- 2+   15o      8 0.4
990707  1+ 1+ 1- 0+  0+ 1o 2o 2-    9-      4 0.1
990708  2o 1o 1o 2-  2+ 2- 2- 2o   13+      6 0.3
990709  2+ 1o 1- 1-  1- 0+ 1- 1-    7o Q7   4 0.1
990710  0+ 1- 1- 1-  1+ 1o 2o 1o    8- Q8   4 0.1
990711  0+ 1- 1o 1-  1o 1- 1o 2+    8- Q0   4 0.1
990712  3- 3+ 3o 2+  2o 1+ 2+ 2-   19-     10 0.6
990713  1+ 1+ 1- 1-  1- 1+ 2- 1-    8+ Q9   4 0.1
990714  0+ 0o 0o 1-  1- 1o 3o 3-    8+      5 0.2
990715  3o 2o 2+ 2-  2+ 2+ 2o 2-   17+      8 0.5
990716  1o 1- 1- 1o  1+ 1+ 1- 1o    8- Q5   4 0.1
990717  1- 0+ 1- 1-  1+ 1+ 1o 0+    6+ Q2   3 0.1
990718  1- 1o 1+ 1o  1o 1o 1- 1+    8o Q6   4 0.1
990719  2- 1o 1- 1o  1o 1- 0+ 1-    7o Q4   4 0.1
990720  1- 1- 0+ 1-  2+ 3- 1- 1+    9+      5 0.2
990721  1+ 1- 2o 2o  2- 5- 5- 2-   19- D5* 14 0.8
990722  2+ 4- 4+ 5-  4+ 4o 4- 3o   30o D4  25 1.2
990723  3o 2+ 1+ 2+  3- 3o 3o 2-   19+     11 0.6
990724  3+ 3- 1+ 3-  2+ 2- 3- 3o   20-     11 0.6
990725  2+ 2o 2o 1+  2- 1o 3o 3-   16o      8 0.4
990726  2o 1+ 1+ 2+  2o 1+ 1- 2-   13-      6 0.3
990727  2- 2- 2+ 1o  2- 1- 1o 0+   10+      5 0.2
990728  1- 1- 1o 2-  2- 3o 3+ 3+   15+      9 0.5
990729  3o 2+ 1o 1o  1o 1- 1o 2-   12-      6 0.3
990730  3- 2o 3- 3+  5o 5+ 8- 6+   35o D1  53 1.6
990731  5- 5- 4o 1+  2o 2+ 5+ 5-   29o D3  28 1.2
990801  4+ 3o 1+ 1o  1- 1o 0o 0+   12- Q0A  8 0.4
990802  1- 2o 2o 1o  2- 2+ 2- 1+   13- Q5   6 0.3
990803  2o 1- 1- 1o  0+ 1- 2o 2o    9+ Q2   4 0.2
990804  3o 3+ 3+ 2o  1+ 2- 1- 1+   17-     10 0.5
990805  2+ 2- 1- 1+  2+ 2o 1+ 2+   14o Q7A  7 0.3
990806  1+ 2- 1+ 3-  4- 4o 4- 3+   22-     15 0.8
990807  4- 2o 2- 2-  1+ 1+ 3- 3o   17+     10 0.5
990808  2- 1- 1- 1+  1o 1- 3- 4-   12+ Q8A  7 0.4
